model,dataset,mean,std,p2_5,p50,p97_5
Qwen3-8B,math500,0.18328285714285716,0.014293559286299799,0.1542857142857143,0.18380952380952387,0.21002380952380953
Qwen3-8B,mbpp,-0.031582681017612524,0.019849583696386952,-0.06813233855185923,-0.031433463796477545,0.005754647749510705
Qwen3-8B,medqa,0.13065482423335825,0.011556434070874004,0.10835359012715043,0.1307030665669407,0.1524214659685864
Qwen3-8B,meld,0.020862942199884014,0.013269888809177767,-0.006297119659771898,0.020877633868161716,0.04591629615310262
gemma-2-9b-it,emorynlp,0.013833902939166098,0.0155340643074577,-0.016079972658920024,0.014012303485987754,0.04563397129186599
gemma-2-9b-it,finqa,-0.03532101328903654,0.014473762859458617,-0.06457641196013297,-0.034364617940199293,-0.008513289036544908
gemma-2-9b-it,humaneval,0.004912536443148684,0.0459359752034453,-0.08531341107871725,0.005830903790087438,0.09635568513119518
gemma-2-9b-it,korbench,-0.12551238095238096,0.011526186169467809,-0.14714761904761905,-0.1253333333333333,-0.10340952380952383
gemma-2-9b-it,math500,-0.32192095238095236,0.02270362710045894,-0.36834523809523806,-0.3230952380952381,-0.27832142857142855
gemma-2-9b-it,mbpp,0.03377935420743639,0.01608088108954629,0.003167808219178104,0.033879647749510744,0.06262230919765172
gemma-2-9b-it,medqa,-0.033330216903515335,0.014144220260119732,-0.060976065818997775,-0.03403141361256545,-0.006161181750187
gemma-2-9b-it,meld,0.016124492557510153,0.014483142551789667,-0.015034796056446982,0.017204716798762787,0.04282331335781946
glm-4-9b-chat,emorynlp,0.01077717019822283,0.018629262699028665,-0.025128161312371857,0.01161995898838003,0.04613807245386192
glm-4-9b-chat,finqa,-0.12084260797342193,0.014815526888783995,-0.1502439784053156,-0.1207433554817276,-0.09291424418604642
glm-4-9b-chat,humaneval,0.1667784256559767,0.04124140196479512,0.08815597667638476,0.1647230320699709,0.250036443148688
glm-4-9b-chat,korbench,-0.09873904761904762,0.012436876055199214,-0.12295714285714279,-0.09866666666666668,-0.07466666666666666
glm-4-9b-chat,math500,-0.2825761904761904,0.02213633212464849,-0.3264404761904762,-0.2828571428571429,-0.24095238095238097
glm-4-9b-chat,mbpp,0.040025929549902146,0.015205621909333264,0.009050880626223057,0.03999510763209391,0.07070694716242654
glm-4-9b-chat,medqa,-0.0657341062079282,0.015218308876203297,-0.0956479057591623,-0.0665669409124906,-0.03215220643231116
glm-4-9b-chat,meld,0.0368289193891359,0.014250283177259659,0.008017591339648087,0.036729170693987956,0.06312101295186538
