replicate,model,dataset,utility
2,Fin-R1,math500,0.046190476190476226
2,Fin-R1,livecodebench,-0.31415030467163174
2,Fin-R1,bbh,-0.08575837742504422
2,Fin-R1,mmlupro,-0.0748752079866889
2,Fin-R1,finqa,0.04256644518272423
2,Fin-R1,medqa,-0.08956619296933432
2,Fin-R1,meld,-0.003092982795283139
2,Fin-R1,korbench,-0.042095238095238074
2,Llama-3.1-8B-UltraMedical,math500,-0.31571428571428567
2,Llama-3.1-8B-UltraMedical,livecodebench,-0.22568269013766648
2,Llama-3.1-8B-UltraMedical,bbh,-0.3326719576719578
2,Llama-3.1-8B-UltraMedical,mmlupro,-0.19087235559781335
2,Llama-3.1-8B-UltraMedical,finqa,-0.128529900332226
2,Llama-3.1-8B-UltraMedical,medqa,0.02711293941660431
2,Llama-3.1-8B-UltraMedical,meld,-0.09278948385849606
2,Llama-3.1-8B-UltraMedical,korbench,-0.3041904761904762
2,Qwen2.5-Coder-7B-Instruct,math500,-0.0719047619047618
2,Qwen2.5-Coder-7B-Instruct,livecodebench,-0.09749492213947192
2,Qwen2.5-Coder-7B-Instruct,bbh,-0.11574074074074092
2,Qwen2.5-Coder-7B-Instruct,mmlupro,-0.10910387449488951
2,Qwen2.5-Coder-7B-Instruct,finqa,-0.012250830564784043
2,Qwen2.5-Coder-7B-Instruct,medqa,-0.24065071054599863
2,Qwen2.5-Coder-7B-Instruct,meld,0.040208776338681695
2,Qwen2.5-Coder-7B-Instruct,korbench,-0.0268571428571428
2,Qwen3-8B,math500,0.26714285714285724
2,Qwen3-8B,livecodebench,0.36831415030467163
2,Qwen3-8B,bbh,0.18761022927689597
2,Qwen3-8B,mmlupro,0.1342999762300926
2,Qwen3-8B,finqa,0.11399501661129563
2,Qwen3-8B,medqa,0.13332086761406137
2,Qwen3-8B,meld,0.03866228494104007
2,Qwen3-8B,korbench,0.18952380952380948
2,Llama-3.1-8B-Instruct,math500,-0.2471428571428571
2,Llama-3.1-8B-Instruct,livecodebench,-0.2004062288422478
2,Llama-3.1-8B-Instruct,bbh,-0.05577601410934763
2,Llama-3.1-8B-Instruct,mmlupro,-0.10910387449488951
2,Llama-3.1-8B-Instruct,finqa,-0.15012458471760792
2,Llama-3.1-8B-Instruct,medqa,0.006170531039640936
2,Llama-3.1-8B-Instruct,meld,-0.018557896771699167
2,Llama-3.1-8B-Instruct,korbench,-0.19447619047619047
2,NVIDIA-Nemotron-Nano-9B-v2,math500,0.2861904761904762
2,NVIDIA-Nemotron-Nano-9B-v2,livecodebench,0.3394267659670503
2,NVIDIA-Nemotron-Nano-9B-v2,bbh,0.21759259259259245
2,NVIDIA-Nemotron-Nano-9B-v2,mmlupro,0.1609222724031376
2,NVIDIA-Nemotron-Nano-9B-v2,finqa,0.06416112956810638
