replicate,dataset,model,utility
4,medqa,DeepSeek-R1-0528-Qwen3-8B,0.819371727748691
4,medqa,Fin-R1,0.6204188481675392
4,medqa,Llama-3.1-8B-UltraMedical,0.6727748691099477
4,medqa,Qwen2.5-Coder-7B-Instruct,0.48429319371727747
4,medqa,Qwen3-8B,0.8010471204188482
4,medqa,Llama-3.1-8B-Instruct,0.6780104712041884
4,medqa,NVIDIA-Nemotron-Nano-9B-v2,0.7264397905759162
4,medqa,gemma-2-9b-it,0.650523560209424
4,meld,DeepSeek-R1-0528-Qwen3-8B,0.5588633288227334
4,meld,Fin-R1,0.5155615696887687
4,meld,Llama-3.1-8B-UltraMedical,0.4668470906630582
4,meld,Qwen2.5-Coder-7B-Instruct,0.5493910690121786
4,meld,Qwen3-8B,0.5669824086603519
4,meld,Llama-3.1-8B-Instruct,0.5209742895805142
4,meld,NVIDIA-Nemotron-Nano-9B-v2,0.5385656292286874
4,meld,gemma-2-9b-it,0.5561569688768606
4,korbench,DeepSeek-R1-0528-Qwen3-8B,0.5306666666666666
4,korbench,Fin-R1,0.2813333333333333
4,korbench,Llama-3.1-8B-UltraMedical,0.11066666666666666
4,korbench,Qwen2.5-Coder-7B-Instruct,0.32
4,korbench,Qwen3-8B,0.5146666666666667
4,korbench,Llama-3.1-8B-Instruct,0.208
4,korbench,NVIDIA-Nemotron-Nano-9B-v2,0.5426666666666666
4,korbench,gemma-2-9b-it,0.32133333333333336
5,math500,DeepSeek-R1-0528-Qwen3-8B,0.9366666666666666
5,math500,Fin-R1,0.7966666666666666
5,math500,Llama-3.1-8B-UltraMedical,0.4266666666666667
5,math500,Qwen2.5-Coder-7B-Instruct,0.6533333333333333
5,math500,Qwen3-8B,0.9333333333333333
5,math500,Llama-3.1-8B-Instruct,0.4666666666666667
5,math500,NVIDIA-Nemotron-Nano-9B-v2,0.9333333333333333
5,math500,gemma-2-9b-it,0.49
5,livecodebench,DeepSeek-R1-0528-Qwen3-8B,0.6429699842022117
5,livecodebench,Fin-R1,0.0679304897314376
5,livecodebench,Llama-3.1-8B-UltraMedical,0.1627172195892575
5,livecodebench,Qwen2.5-Coder-7B-Instruct,0.28278041074249605
5,livecodebench,Qwen3-8B,0.6998420221169036
5,livecodebench,Llama-3.1-8B-Instruct,0.1943127962085308
5,livecodebench,NVIDIA-Nemotron-Nano-9B-v2,0.6635071090047393
5,livecodebench,gemma-2-9b-it,0.20063191153238547
5,bbh,DeepSeek-R1-0528-Qwen3-8B,0.8811728395061729
5,bbh,Fin-R1,0.6172839506172839
5,bbh,Llama-3.1-8B-UltraMedical,0.3549382716049383
5,bbh,Qwen2.5-Coder-7B-Instruct,0.5694444444444444
5,bbh,Qwen3-8B,0.8209876543209876
5,bbh,Llama-3.1-8B-Instruct,0.5848765432098766
5,bbh,NVIDIA-Nemotron-Nano-9B-v2,0.8595679012345679
5,bbh,gemma-2-9b-it,0.5879629629629629
5,mmlupro,DeepSeek-R1-0528-Qwen3-8B,0.6888519134775375
5,mmlupro,Fin-R1,0.47753743760399336
5,mmlupro,Llama-3.1-8B-UltraMedical,0.3627287853577371
5,mmlupro,Qwen2.5-Coder-7B-Instruct,0.4475873544093178
5,mmlupro,Qwen3-8B,0.6622296173044925
5,mmlupro,Llama-3.1-8B-Instruct,0.43094841930116473
5,mmlupro,NVIDIA-Nemotron-Nano-9B-v2,0.6622296173044925
5,mmlupro,gemma-2-9b-it,0.5457570715474209
5,finqa,DeepSeek-R1-0528-Qwen3-8B,0.7078488372093024
5,finqa,Fin-R1,0.6802325581395349
5,finqa,Llama-3.1-8B-UltraMedical,0.5058139534883721
5,finqa,Qwen2.5-Coder-7B-Instruct,0.6424418604651163
5,finqa,Qwen3-8B,0.7267441860465116
5,finqa,Llama-3.1-8B-Instruct,0.498546511627907
5,finqa,NVIDIA-Nemotron-Nano-9B-v2,0.6991279069767442
5,finqa,gemma-2-9b-it,0.623546511627907
5,medqa,DeepSeek-R1-0528-Qwen3-8B,0.8075916230366492
5,medqa,Fin-R1,0.6047120418848168
5,medqa,Llama-3.1-8B-UltraMedical,0.7028795811518325
5,medqa,Qwen2.5-Coder-7B-Instruct,0.47643979057591623
5,medqa,Qwen3-8B,0.7827225130890052
5,medqa,Llama-3.1-8B-Instruct,0.7028795811518325
5,medqa,NVIDIA-Nemotron-Nano-9B-v2,0.7395287958115183
5,medqa,gemma-2-9b-it,0.6256544502617801
5,meld,DeepSeek-R1-0528-Qwen3-8B,0.5155615696887687
5,meld,Fin-R1,0.5209742895805142
5,meld,Llama-3.1-8B-UltraMedical,0.44248985115020295
5,meld,Qwen2.5-Coder-7B-Instruct,0.5115020297699594
5,meld,Qwen3-8B,0.523680649526387
5,meld,Llama-3.1-8B-Instruct,0.476319350473613
5,meld,NVIDIA-Nemotron-Nano-9B-v2,0.48308525033829497
5,meld,gemma-2-9b-it,0.5412719891745602
5,korbench,DeepSeek-R1-0528-Qwen3-8B,0.556
5,korbench,Fin-R1,0.32
5,korbench,Llama-3.1-8B-UltraMedical,0.11333333333333333
5,korbench,Qwen2.5-Coder-7B-Instruct,0.312
5,korbench,Qwen3-8B,0.5426666666666666
5,korbench,Llama-3.1-8B-Instruct,0.20666666666666667
5,korbench,NVIDIA-Nemotron-Nano-9B-v2,0.536
5,korbench,gemma-2-9b-it,0.328
6,math500,DeepSeek-R1-0528-Qwen3-8B,0.9566666666666667
6,math500,Fin-R1,0.76
6,math500,Llama-3.1-8B-UltraMedical,0.4666666666666667
6,math500,Qwen2.5-Coder-7B-Instruct,0.66
6,math500,Qwen3-8B,0.94
6,math500,Llama-3.1-8B-Instruct,0.49
6,math500,NVIDIA-Nemotron-Nano-9B-v2,0.9633333333333334
6,math500,gemma-2-9b-it,0.48
6,livecodebench,DeepSeek-R1-0528-Qwen3-8B,0.6018957345971564
6,livecodebench,Fin-R1,0.06477093206951026
6,livecodebench,Llama-3.1-8B-UltraMedical,0.15639810426540285
6,livecodebench,Qwen2.5-Coder-7B-Instruct,0.2796208530805687
6,livecodebench,Qwen3-8B,0.6477093206951027
6,livecodebench,Llama-3.1-8B-Instruct,0.17061611374407584
6,livecodebench,NVIDIA-Nemotron-Nano-9B-v2,0.6350710900473934
6,livecodebench,gemma-2-9b-it,0.1943127962085308
6,bbh,DeepSeek-R1-0528-Qwen3-8B,0.904320987654321
6,bbh,Fin-R1,0.6080246913580247
6,bbh,Llama-3.1-8B-UltraMedical,0.4074074074074074
6,bbh,Qwen2.5-Coder-7B-Instruct,0.5864197530864198
6,bbh,Qwen3-8B,0.875
6,bbh,Llama-3.1-8B-Instruct,0.6219135802469136
6,bbh,NVIDIA-Nemotron-Nano-9B-v2,0.8703703703703703
6,bbh,gemma-2-9b-it,0.6172839506172839
6,mmlupro,DeepSeek-R1-0528-Qwen3-8B,0.7171381031613977
6,mmlupro,Fin-R1,0.4891846921797005
6,mmlupro,Llama-3.1-8B-UltraMedical,0.389351081530782
6,mmlupro,Qwen2.5-Coder-7B-Instruct,0.4525790349417637
