model,dataset,mean,std,p2_5,p50,p97_5
Qwen2.5-Coder-7B-Instruct,finqa,0.6428720930232559,0.01753701846649782,0.6061046511627907,0.6431686046511629,0.6773255813953488
Qwen2.5-Coder-7B-Instruct,humaneval,0.8361632653061224,0.03719585655516624,0.7551020408163265,0.8367346938775511,0.903316326530612
Qwen2.5-Coder-7B-Instruct,korbench,0.334928,0.017396502948924114,0.30133333333333334,0.336,0.37066666666666664
Qwen2.5-Coder-7B-Instruct,math500,0.6734066666666666,0.026316487513155334,0.61825,0.6733333333333333,0.7233333333333334
Qwen2.5-Coder-7B-Instruct,mbpp,0.7603801369863014,0.017189230848960995,0.726027397260274,0.7602739726027398,0.7928082191780822
Qwen2.5-Coder-7B-Instruct,medqa,0.47745287958115185,0.018368907821629143,0.4410994764397906,0.47774869109947643,0.5137761780104712
Qwen2.5-Coder-7B-Instruct,meld,0.5329174560216509,0.017914705890999492,0.5006765899864682,0.5317997293640054,0.5683355886332883
Qwen3-8B,emorynlp,0.3759425837320574,0.024403716833372165,0.33253588516746413,0.37559808612440193,0.4223086124401913
Qwen3-8B,finqa,0.7356918604651163,0.01658710640749317,0.7049418604651163,0.7354651162790697,0.7674418604651163
Qwen3-8B,humaneval,0.6522857142857144,0.04795527208710495,0.5510204081632653,0.6530612244897959,0.7448979591836735
Qwen3-8B,korbench,0.5313413333333333,0.017118652246356458,0.49866666666666665,0.532,0.5647
Qwen3-8B,math500,0.9401866666666666,0.014117261882355184,0.91,0.94,0.9650833333333333
Qwen3-8B,mbpp,0.5561335616438356,0.021493484034121203,0.5145119863013699,0.5547945205479452,0.598501712328767
Qwen3-8B,medqa,0.7794633507853403,0.014697622948530234,0.75,0.7787958115183246,0.8075916230366492
Qwen3-8B,meld,0.5406468200270637,0.0187641288918405,0.5047361299052774,0.5412719891745602,0.5751014884979703
gemma-2-9b-it,emorynlp,0.37086602870813395,0.024611305192704453,0.31931818181818183,0.3708133971291866,0.42105263157894735
gemma-2-9b-it,finqa,0.6420232558139535,0.018365351045381194,0.6053415697674418,0.6424418604651163,0.6780886627906976
gemma-2-9b-it,humaneval,0.611673469387755,0.04724361468586208,0.5204081632653061,0.6122448979591837,0.7040816326530612
gemma-2-9b-it,korbench,0.33405599999999996,0.017551184097877457,0.2986666666666667,0.33466666666666667,0.37066666666666664
gemma-2-9b-it,math500,0.4981333333333333,0.02714468027689163,0.44333333333333336,0.49666666666666665,0.55
gemma-2-9b-it,mbpp,0.6133253424657534,0.019012513262417683,0.5778681506849315,0.613013698630137,0.6506849315068494
gemma-2-9b-it,medqa,0.6359764397905759,0.017511846679772708,0.6034031413612565,0.6361256544502618,0.6701570680628273
gemma-2-9b-it,meld,0.5365006765899865,0.018422142851369495,0.5006765899864682,0.5385656292286874,0.5723951285520974
glm-4-9b-chat,emorynlp,0.3681913875598086,0.022971888123218348,0.3241028708133971,0.3684210526315789,0.41148325358851673
glm-4-9b-chat,finqa,0.5671918604651163,0.01836160228042225,0.5283066860465117,0.5668604651162791,0.6017441860465116
glm-4-9b-chat,humaneval,0.7533061224489797,0.04256928554212187,0.673469387755102,0.7551020408163265,0.8367346938775511
glm-4-9b-chat,korbench,0.35748266666666667,0.017852831461209875,0.3233,0.35733333333333334,0.3940333333333333
glm-4-9b-chat,math500,0.5325599999999999,0.027111802466810137,0.47825,0.5333333333333333,0.5833333333333334
glm-4-9b-chat,mbpp,0.6187910958904109,0.01914166461151901,0.5795804794520548,0.6181506849315068,0.6575342465753424
glm-4-9b-chat,medqa,0.6076230366492147,0.018696575332242435,0.5739201570680628,0.606020942408377,0.6459751308900523
glm-4-9b-chat,meld,0.5546170500676589,0.018500737044094856,0.5182679296346414,0.5548037889039242,0.5899864682002707
