replicate,dataset,model,utility
3,math500,DeepSeek-R1-0528-Qwen3-8B,0.95
3,math500,Fin-R1,0.7433333333333333
3,math500,GLM-Z1-9B-0414,0.9633333333333334
3,math500,Intern-S1-mini,0.9066666666666666
3,math500,Qwen2.5-Coder-7B-Instruct,0.6433333333333333
3,math500,Qwen3-8B,0.93
3,math500,gemma-2-9b-it,0.5033333333333333
3,math500,glm-4-9b-chat,0.5566666666666666
3,mbpp,DeepSeek-R1-0528-Qwen3-8B,0.3647260273972603
3,mbpp,Fin-R1,0.6832191780821918
3,mbpp,GLM-Z1-9B-0414,0.6438356164383562
3,mbpp,Intern-S1-mini,0.4708904109589041
3,mbpp,Qwen2.5-Coder-7B-Instruct,0.773972602739726
3,mbpp,Qwen3-8B,0.583904109589041
3,mbpp,gemma-2-9b-it,0.6027397260273972
3,mbpp,glm-4-9b-chat,0.625
3,medqa,DeepSeek-R1-0528-Qwen3-8B,0.819371727748691
3,medqa,Fin-R1,0.612565445026178
3,medqa,GLM-Z1-9B-0414,0.725130890052356
3,medqa,Intern-S1-mini,0.693717277486911
3,medqa,Qwen2.5-Coder-7B-Instruct,0.4698952879581152
3,medqa,Qwen3-8B,0.7761780104712042
3,medqa,gemma-2-9b-it,0.6308900523560209
3,medqa,glm-4-9b-chat,0.5929319371727748
3,meld,DeepSeek-R1-0528-Qwen3-8B,0.5155615696887687
3,meld,Fin-R1,0.5142083897158322
3,meld,GLM-Z1-9B-0414,0.4479025710419486
3,meld,Intern-S1-mini,0.4925575101488498
3,meld,Qwen2.5-Coder-7B-Instruct,0.5385656292286874
3,meld,Qwen3-8B,0.5385656292286874
3,meld,gemma-2-9b-it,0.5331529093369418
3,meld,glm-4-9b-chat,0.5412719891745602
4,emorynlp,DeepSeek-R1-0528-Qwen3-8B,0.3708133971291866
4,emorynlp,Fin-R1,0.3660287081339713
4,emorynlp,GLM-Z1-9B-0414,0.3588516746411483
4,emorynlp,Intern-S1-mini,0.34210526315789475
4,emorynlp,Qwen2.5-Coder-7B-Instruct,0.3373205741626794
4,emorynlp,Qwen3-8B,0.39712918660287083
4,emorynlp,gemma-2-9b-it,0.3708133971291866
4,emorynlp,glm-4-9b-chat,0.3827751196172249
