replicate,model,dataset,utility
2,gemma-2-9b-it,meld,0.5385656292286874
2,glm-4-9b-chat,emorynlp,0.35167464114832536
2,glm-4-9b-chat,finqa,0.5857558139534884
2,glm-4-9b-chat,humaneval,0.7448979591836735
2,glm-4-9b-chat,korbench,0.37066666666666664
2,glm-4-9b-chat,math500,0.5066666666666667
2,glm-4-9b-chat,mbpp,0.589041095890411
2,glm-4-9b-chat,medqa,0.6649214659685864
2,glm-4-9b-chat,meld,0.5683355886332883
3,DeepSeek-R1-0528-Qwen3-8B,emorynlp,0.34688995215311
3,DeepSeek-R1-0528-Qwen3-8B,finqa,0.7093023255813954
3,DeepSeek-R1-0528-Qwen3-8B,humaneval,0.2755102040816326
3,DeepSeek-R1-0528-Qwen3-8B,korbench,0.5466666666666666
3,DeepSeek-R1-0528-Qwen3-8B,math500,0.95
3,DeepSeek-R1-0528-Qwen3-8B,mbpp,0.3647260273972603
3,DeepSeek-R1-0528-Qwen3-8B,medqa,0.819371727748691
3,DeepSeek-R1-0528-Qwen3-8B,meld,0.5155615696887687
3,Fin-R1,emorynlp,0.2966507177033493
3,Fin-R1,finqa,0.7122093023255814
3,Fin-R1,humaneval,0.7346938775510204
3,Fin-R1,korbench,0.30933333333333335
3,Fin-R1,math500,0.7433333333333333
3,Fin-R1,mbpp,0.6832191780821918
3,Fin-R1,medqa,0.612565445026178
3,Fin-R1,meld,0.5142083897158322
3,GLM-Z1-9B-0414,emorynlp,0.3133971291866029
3,GLM-Z1-9B-0414,finqa,0.6758720930232558
3,GLM-Z1-9B-0414,humaneval,0.6326530612244898
3,GLM-Z1-9B-0414,korbench,0.532
3,GLM-Z1-9B-0414,math500,0.9633333333333334
3,GLM-Z1-9B-0414,mbpp,0.6438356164383562
3,GLM-Z1-9B-0414,medqa,0.725130890052356
3,GLM-Z1-9B-0414,meld,0.4479025710419486
3,Intern-S1-mini,emorynlp,0.3373205741626794
3,Intern-S1-mini,finqa,0.6991279069767442
3,Intern-S1-mini,humaneval,0.40816326530612246
3,Intern-S1-mini,korbench,0.5826666666666667
3,Intern-S1-mini,math500,0.9066666666666666
3,Intern-S1-mini,mbpp,0.4708904109589041
3,Intern-S1-mini,medqa,0.693717277486911
3,Intern-S1-mini,meld,0.4925575101488498
3,Qwen2.5-Coder-7B-Instruct,emorynlp,0.3157894736842105
3,Qwen2.5-Coder-7B-Instruct,finqa,0.6453488372093024
3,Qwen2.5-Coder-7B-Instruct,humaneval,0.8367346938775511
3,Qwen2.5-Coder-7B-Instruct,korbench,0.32266666666666666
3,Qwen2.5-Coder-7B-Instruct,math500,0.6433333333333333
3,Qwen2.5-Coder-7B-Instruct,mbpp,0.773972602739726
3,Qwen2.5-Coder-7B-Instruct,medqa,0.4698952879581152
3,Qwen2.5-Coder-7B-Instruct,meld,0.5385656292286874
3,Qwen3-8B,emorynlp,0.3373205741626794
3,Qwen3-8B,finqa,0.7354651162790697
3,Qwen3-8B,humaneval,0.6632653061224489
3,Qwen3-8B,korbench,0.536
3,Qwen3-8B,math500,0.93
3,Qwen3-8B,mbpp,0.583904109589041
3,Qwen3-8B,medqa,0.7761780104712042
3,Qwen3-8B,meld,0.5385656292286874
3,gemma-2-9b-it,emorynlp,0.35406698564593303
3,gemma-2-9b-it,finqa,0.6206395348837209
3,gemma-2-9b-it,humaneval,0.6938775510204082
3,gemma-2-9b-it,korbench,0.33466666666666667
3,gemma-2-9b-it,math500,0.5033333333333333
3,gemma-2-9b-it,mbpp,0.6027397260273972
3,gemma-2-9b-it,medqa,0.6308900523560209
3,gemma-2-9b-it,meld,0.5331529093369418
3,glm-4-9b-chat,emorynlp,0.35167464114832536
3,glm-4-9b-chat,finqa,0.5828488372093024
3,glm-4-9b-chat,humaneval,0.7653061224489796
3,glm-4-9b-chat,korbench,0.344
3,glm-4-9b-chat,math500,0.5566666666666666
3,glm-4-9b-chat,mbpp,0.625
3,glm-4-9b-chat,medqa,0.5929319371727748
3,glm-4-9b-chat,meld,0.5412719891745602
4,DeepSeek-R1-0528-Qwen3-8B,emorynlp,0.3708133971291866
4,DeepSeek-R1-0528-Qwen3-8B,finqa,0.7020348837209303
4,DeepSeek-R1-0528-Qwen3-8B,humaneval,0.2755102040816326
4,DeepSeek-R1-0528-Qwen3-8B,korbench,0.5306666666666666
4,DeepSeek-R1-0528-Qwen3-8B,math500,0.9733333333333334
4,DeepSeek-R1-0528-Qwen3-8B,mbpp,0.3253424657534247
4,DeepSeek-R1-0528-Qwen3-8B,medqa,0.819371727748691
4,DeepSeek-R1-0528-Qwen3-8B,meld,0.5588633288227334
4,Fin-R1,emorynlp,0.3660287081339713
4,Fin-R1,finqa,0.6787790697674418
4,Fin-R1,humaneval,0.7551020408163265
4,Fin-R1,korbench,0.2813333333333333
4,Fin-R1,math500,0.77
4,Fin-R1,mbpp,0.6815068493150684
4,Fin-R1,medqa,0.6204188481675392
4,Fin-R1,meld,0.5155615696887687
4,GLM-Z1-9B-0414,emorynlp,0.3588516746411483
4,GLM-Z1-9B-0414,finqa,0.6773255813953488
4,GLM-Z1-9B-0414,humaneval,0.5816326530612245
4,GLM-Z1-9B-0414,korbench,0.5266666666666666
4,GLM-Z1-9B-0414,math500,0.9766666666666667
4,GLM-Z1-9B-0414,mbpp,0.6095890410958904
4,GLM-Z1-9B-0414,medqa,0.7081151832460733
4,GLM-Z1-9B-0414,meld,0.4993234100135318
4,Intern-S1-mini,emorynlp,0.34210526315789475
4,Intern-S1-mini,finqa,0.6816860465116279
4,Intern-S1-mini,humaneval,0.47959183673469385
