replicate,task,model
90,emorynlp,gemma-2-9b-it
90,mbpp,Fin-R1
90,finqa,Qwen3-8B
91,medqa,Qwen3-8B
91,meld,glm-4-9b-chat
91,humaneval,Qwen2.5-Coder-7B-Instruct
91,finqa,Intern-S1-mini
91,math500,DeepSeek-R1-0528-Qwen3-8B
91,korbench,GLM-Z1-9B-0414
91,emorynlp,gemma-2-9b-it
91,mbpp,Fin-R1
92,meld,glm-4-9b-chat
92,medqa,DeepSeek-R1-0528-Qwen3-8B
92,humaneval,Qwen2.5-Coder-7B-Instruct
92,math500,GLM-Z1-9B-0414
92,korbench,Intern-S1-mini
92,emorynlp,gemma-2-9b-it
92,mbpp,Fin-R1
92,finqa,Qwen3-8B
93,meld,glm-4-9b-chat
93,medqa,DeepSeek-R1-0528-Qwen3-8B
93,humaneval,Qwen2.5-Coder-7B-Instruct
93,math500,GLM-Z1-9B-0414
93,korbench,Intern-S1-mini
93,emorynlp,gemma-2-9b-it
93,mbpp,Fin-R1
93,finqa,Qwen3-8B
94,meld,glm-4-9b-chat
94,medqa,DeepSeek-R1-0528-Qwen3-8B
94,humaneval,Qwen2.5-Coder-7B-Instruct
94,math500,GLM-Z1-9B-0414
94,korbench,Intern-S1-mini
94,emorynlp,gemma-2-9b-it
94,mbpp,Fin-R1
94,finqa,Qwen3-8B
95,meld,glm-4-9b-chat
95,medqa,DeepSeek-R1-0528-Qwen3-8B
95,humaneval,Qwen2.5-Coder-7B-Instruct
95,math500,GLM-Z1-9B-0414
95,korbench,Intern-S1-mini
95,emorynlp,gemma-2-9b-it
95,mbpp,Fin-R1
95,finqa,Qwen3-8B
96,meld,glm-4-9b-chat
96,medqa,DeepSeek-R1-0528-Qwen3-8B
96,humaneval,Qwen2.5-Coder-7B-Instruct
96,math500,GLM-Z1-9B-0414
96,korbench,Intern-S1-mini
96,emorynlp,gemma-2-9b-it
96,mbpp,Fin-R1
96,finqa,Qwen3-8B
97,meld,glm-4-9b-chat
97,medqa,DeepSeek-R1-0528-Qwen3-8B
97,humaneval,Qwen2.5-Coder-7B-Instruct
97,math500,GLM-Z1-9B-0414
97,korbench,Intern-S1-mini
97,emorynlp,gemma-2-9b-it
97,mbpp,Fin-R1
97,finqa,Qwen3-8B
98,meld,glm-4-9b-chat
98,medqa,DeepSeek-R1-0528-Qwen3-8B
98,math500,Qwen3-8B
98,finqa,GLM-Z1-9B-0414
98,humaneval,Qwen2.5-Coder-7B-Instruct
98,korbench,Intern-S1-mini
98,emorynlp,gemma-2-9b-it
98,mbpp,Fin-R1
99,medqa,DeepSeek-R1-0528-Qwen3-8B
99,meld,gemma-2-9b-it
99,mbpp,Qwen2.5-Coder-7B-Instruct
99,math500,GLM-Z1-9B-0414
99,emorynlp,Fin-R1
99,korbench,Intern-S1-mini
99,humaneval,glm-4-9b-chat
99,finqa,Qwen3-8B
100,meld,glm-4-9b-chat
100,medqa,DeepSeek-R1-0528-Qwen3-8B
100,humaneval,Qwen2.5-Coder-7B-Instruct
100,math500,GLM-Z1-9B-0414
100,korbench,Intern-S1-mini
100,emorynlp,gemma-2-9b-it
100,mbpp,Fin-R1
100,finqa,Qwen3-8B
101,meld,glm-4-9b-chat
101,medqa,DeepSeek-R1-0528-Qwen3-8B
101,humaneval,Qwen2.5-Coder-7B-Instruct
101,math500,GLM-Z1-9B-0414
101,korbench,Intern-S1-mini
101,emorynlp,gemma-2-9b-it
101,mbpp,Fin-R1
101,finqa,Qwen3-8B
102,meld,glm-4-9b-chat
102,finqa,GLM-Z1-9B-0414
102,humaneval,Qwen2.5-Coder-7B-Instruct
102,math500,DeepSeek-R1-0528-Qwen3-8B
102,korbench,Intern-S1-mini
102,emorynlp,gemma-2-9b-it
102,medqa,Qwen3-8B
102,mbpp,Fin-R1
103,meld,glm-4-9b-chat
103,medqa,DeepSeek-R1-0528-Qwen3-8B
103,humaneval,Qwen2.5-Coder-7B-Instruct
103,math500,GLM-Z1-9B-0414
103,korbench,Intern-S1-mini
103,emorynlp,gemma-2-9b-it
103,mbpp,Fin-R1
103,finqa,Qwen3-8B
104,medqa,Qwen3-8B
104,meld,glm-4-9b-chat
104,humaneval,Qwen2.5-Coder-7B-Instruct
104,finqa,Intern-S1-mini
104,math500,DeepSeek-R1-0528-Qwen3-8B
104,korbench,GLM-Z1-9B-0414
104,emorynlp,gemma-2-9b-it
104,mbpp,Fin-R1
105,meld,glm-4-9b-chat
105,medqa,DeepSeek-R1-0528-Qwen3-8B
105,humaneval,Qwen2.5-Coder-7B-Instruct
105,math500,GLM-Z1-9B-0414
105,korbench,Intern-S1-mini
105,emorynlp,gemma-2-9b-it
105,mbpp,Fin-R1
105,finqa,Qwen3-8B
106,medqa,DeepSeek-R1-0528-Qwen3-8B
106,humaneval,Qwen2.5-Coder-7B-Instruct
106,meld,gemma-2-9b-it
106,emorynlp,glm-4-9b-chat
106,math500,GLM-Z1-9B-0414
106,korbench,Intern-S1-mini
106,mbpp,Fin-R1
106,finqa,Qwen3-8B
107,medqa,DeepSeek-R1-0528-Qwen3-8B
107,humaneval,Qwen2.5-Coder-7B-Instruct
107,meld,gemma-2-9b-it
107,emorynlp,glm-4-9b-chat
107,math500,GLM-Z1-9B-0414
107,korbench,Intern-S1-mini
107,mbpp,Fin-R1
107,finqa,Qwen3-8B
108,meld,glm-4-9b-chat
108,medqa,DeepSeek-R1-0528-Qwen3-8B
108,humaneval,Qwen2.5-Coder-7B-Instruct
108,math500,GLM-Z1-9B-0414
108,korbench,Intern-S1-mini
108,emorynlp,gemma-2-9b-it
108,mbpp,Fin-R1
108,finqa,Qwen3-8B
109,medqa,Qwen3-8B
109,meld,glm-4-9b-chat
109,humaneval,Qwen2.5-Coder-7B-Instruct
109,finqa,Intern-S1-mini
109,math500,DeepSeek-R1-0528-Qwen3-8B
109,korbench,GLM-Z1-9B-0414
109,emorynlp,gemma-2-9b-it
109,mbpp,Fin-R1
110,meld,glm-4-9b-chat
110,medqa,DeepSeek-R1-0528-Qwen3-8B
110,math500,Qwen3-8B
110,humaneval,Qwen2.5-Coder-7B-Instruct
110,finqa,Intern-S1-mini
110,korbench,GLM-Z1-9B-0414
110,emorynlp,gemma-2-9b-it
110,mbpp,Fin-R1
111,meld,glm-4-9b-chat
111,medqa,DeepSeek-R1-0528-Qwen3-8B
111,humaneval,Qwen2.5-Coder-7B-Instruct
111,math500,GLM-Z1-9B-0414
111,korbench,Intern-S1-mini
111,emorynlp,gemma-2-9b-it
111,mbpp,Fin-R1
111,finqa,Qwen3-8B
112,meld,glm-4-9b-chat
112,medqa,DeepSeek-R1-0528-Qwen3-8B
112,humaneval,Qwen2.5-Coder-7B-Instruct
112,math500,GLM-Z1-9B-0414
112,korbench,Intern-S1-mini
112,emorynlp,gemma-2-9b-it
112,mbpp,Fin-R1
112,finqa,Qwen3-8B
113,meld,glm-4-9b-chat
113,medqa,DeepSeek-R1-0528-Qwen3-8B
113,humaneval,Qwen2.5-Coder-7B-Instruct
113,math500,GLM-Z1-9B-0414
113,korbench,Intern-S1-mini
113,emorynlp,gemma-2-9b-it
113,mbpp,Fin-R1
113,finqa,Qwen3-8B
114,medqa,DeepSeek-R1-0528-Qwen3-8B
114,humaneval,Qwen2.5-Coder-7B-Instruct
114,meld,gemma-2-9b-it
114,emorynlp,glm-4-9b-chat
114,math500,GLM-Z1-9B-0414
114,korbench,Intern-S1-mini
114,mbpp,Fin-R1
114,finqa,Qwen3-8B
115,meld,glm-4-9b-chat
115,medqa,DeepSeek-R1-0528-Qwen3-8B
115,humaneval,Qwen2.5-Coder-7B-Instruct
115,math500,GLM-Z1-9B-0414
115,korbench,Intern-S1-mini
115,emorynlp,gemma-2-9b-it
115,mbpp,Fin-R1
115,finqa,Qwen3-8B
116,meld,glm-4-9b-chat
116,medqa,DeepSeek-R1-0528-Qwen3-8B
116,humaneval,Qwen2.5-Coder-7B-Instruct
116,math500,GLM-Z1-9B-0414
116,korbench,Intern-S1-mini
116,emorynlp,gemma-2-9b-it
116,mbpp,Fin-R1
116,finqa,Qwen3-8B
117,meld,glm-4-9b-chat
117,medqa,DeepSeek-R1-0528-Qwen3-8B
117,humaneval,Qwen2.5-Coder-7B-Instruct
117,math500,GLM-Z1-9B-0414
117,korbench,Intern-S1-mini
117,emorynlp,gemma-2-9b-it
117,mbpp,Fin-R1
117,finqa,Qwen3-8B
118,meld,glm-4-9b-chat
118,finqa,DeepSeek-R1-0528-Qwen3-8B
118,humaneval,Qwen2.5-Coder-7B-Instruct
118,math500,GLM-Z1-9B-0414
118,korbench,Intern-S1-mini
118,emorynlp,gemma-2-9b-it
118,medqa,Qwen3-8B
118,mbpp,Fin-R1
119,medqa,DeepSeek-R1-0528-Qwen3-8B
119,humaneval,Qwen2.5-Coder-7B-Instruct
119,meld,gemma-2-9b-it
119,emorynlp,glm-4-9b-chat
119,math500,GLM-Z1-9B-0414
119,korbench,Intern-S1-mini
119,mbpp,Fin-R1
119,finqa,Qwen3-8B
120,medqa,Qwen3-8B
120,meld,glm-4-9b-chat
120,humaneval,Qwen2.5-Coder-7B-Instruct
120,finqa,Intern-S1-mini
120,math500,DeepSeek-R1-0528-Qwen3-8B
120,korbench,GLM-Z1-9B-0414
120,emorynlp,gemma-2-9b-it
120,mbpp,Fin-R1
121,meld,glm-4-9b-chat
121,medqa,DeepSeek-R1-0528-Qwen3-8B
121,humaneval,Qwen2.5-Coder-7B-Instruct
121,math500,GLM-Z1-9B-0414
121,korbench,Intern-S1-mini
121,emorynlp,gemma-2-9b-it
121,mbpp,Fin-R1
121,finqa,Qwen3-8B
122,medqa,Qwen3-8B
122,meld,glm-4-9b-chat
122,humaneval,Qwen2.5-Coder-7B-Instruct
122,finqa,Intern-S1-mini
122,math500,DeepSeek-R1-0528-Qwen3-8B
122,korbench,GLM-Z1-9B-0414
122,emorynlp,gemma-2-9b-it
122,mbpp,Fin-R1
123,meld,glm-4-9b-chat
123,medqa,DeepSeek-R1-0528-Qwen3-8B
123,humaneval,Qwen2.5-Coder-7B-Instruct
123,math500,GLM-Z1-9B-0414
123,korbench,Intern-S1-mini
123,emorynlp,gemma-2-9b-it
123,mbpp,Fin-R1
123,finqa,Qwen3-8B
124,medqa,DeepSeek-R1-0528-Qwen3-8B
124,humaneval,Qwen2.5-Coder-7B-Instruct
124,meld,gemma-2-9b-it
124,emorynlp,glm-4-9b-chat
124,math500,GLM-Z1-9B-0414
124,korbench,Intern-S1-mini
124,mbpp,Fin-R1
124,finqa,Qwen3-8B
125,meld,glm-4-9b-chat
125,medqa,DeepSeek-R1-0528-Qwen3-8B
125,humaneval,Qwen2.5-Coder-7B-Instruct
125,math500,GLM-Z1-9B-0414
125,korbench,Intern-S1-mini
125,emorynlp,gemma-2-9b-it
125,mbpp,Fin-R1
125,finqa,Qwen3-8B
126,meld,glm-4-9b-chat
126,medqa,DeepSeek-R1-0528-Qwen3-8B
126,humaneval,Qwen2.5-Coder-7B-Instruct
126,math500,GLM-Z1-9B-0414
126,korbench,Intern-S1-mini
126,emorynlp,gemma-2-9b-it
126,mbpp,Fin-R1
126,finqa,Qwen3-8B
127,meld,glm-4-9b-chat
127,medqa,DeepSeek-R1-0528-Qwen3-8B
127,humaneval,Qwen2.5-Coder-7B-Instruct
127,math500,GLM-Z1-9B-0414
127,korbench,Intern-S1-mini
127,emorynlp,gemma-2-9b-it
127,mbpp,Fin-R1
127,finqa,Qwen3-8B
128,mbpp,glm-4-9b-chat
128,humaneval,Qwen2.5-Coder-7B-Instruct
128,meld,gemma-2-9b-it
128,math500,DeepSeek-R1-0528-Qwen3-8B
128,finqa,Fin-R1
128,korbench,Intern-S1-mini
128,medqa,Qwen3-8B
128,emorynlp,GLM-Z1-9B-0414
129,medqa,Qwen3-8B
129,meld,glm-4-9b-chat
129,humaneval,Qwen2.5-Coder-7B-Instruct
129,finqa,Intern-S1-mini
129,math500,DeepSeek-R1-0528-Qwen3-8B
129,korbench,GLM-Z1-9B-0414
129,emorynlp,gemma-2-9b-it
129,mbpp,Fin-R1
130,meld,glm-4-9b-chat
130,medqa,DeepSeek-R1-0528-Qwen3-8B
130,humaneval,Qwen2.5-Coder-7B-Instruct
130,math500,GLM-Z1-9B-0414
130,korbench,Intern-S1-mini
130,emorynlp,gemma-2-9b-it
130,mbpp,Fin-R1
130,finqa,Qwen3-8B
131,meld,glm-4-9b-chat
131,medqa,DeepSeek-R1-0528-Qwen3-8B
131,humaneval,Qwen2.5-Coder-7B-Instruct
131,math500,GLM-Z1-9B-0414
131,korbench,Intern-S1-mini
131,emorynlp,gemma-2-9b-it
131,mbpp,Fin-R1
131,finqa,Qwen3-8B
132,meld,glm-4-9b-chat
132,medqa,DeepSeek-R1-0528-Qwen3-8B
132,humaneval,Qwen2.5-Coder-7B-Instruct
132,math500,GLM-Z1-9B-0414
132,korbench,Intern-S1-mini
132,emorynlp,gemma-2-9b-it
132,mbpp,Fin-R1
132,finqa,Qwen3-8B
133,medqa,DeepSeek-R1-0528-Qwen3-8B
133,meld,gemma-2-9b-it
133,mbpp,Qwen2.5-Coder-7B-Instruct
133,math500,GLM-Z1-9B-0414
133,emorynlp,Fin-R1
133,korbench,Intern-S1-mini
133,humaneval,glm-4-9b-chat
133,finqa,Qwen3-8B
134,medqa,DeepSeek-R1-0528-Qwen3-8B
134,humaneval,Qwen2.5-Coder-7B-Instruct
134,meld,gemma-2-9b-it
134,emorynlp,glm-4-9b-chat
134,math500,GLM-Z1-9B-0414
134,korbench,Intern-S1-mini
134,mbpp,Fin-R1
134,finqa,Qwen3-8B
135,medqa,DeepSeek-R1-0528-Qwen3-8B
135,meld,gemma-2-9b-it
135,mbpp,Qwen2.5-Coder-7B-Instruct
135,math500,GLM-Z1-9B-0414
135,emorynlp,Fin-R1
135,korbench,Intern-S1-mini
135,humaneval,glm-4-9b-chat
135,finqa,Qwen3-8B
136,meld,glm-4-9b-chat
136,medqa,DeepSeek-R1-0528-Qwen3-8B
136,mbpp,Qwen2.5-Coder-7B-Instruct
136,math500,GLM-Z1-9B-0414
136,humaneval,Fin-R1
136,korbench,Intern-S1-mini
136,emorynlp,gemma-2-9b-it
136,finqa,Qwen3-8B
137,meld,glm-4-9b-chat
137,medqa,DeepSeek-R1-0528-Qwen3-8B
137,humaneval,Qwen2.5-Coder-7B-Instruct
137,math500,GLM-Z1-9B-0414
137,korbench,Intern-S1-mini
137,emorynlp,gemma-2-9b-it
137,mbpp,Fin-R1
137,finqa,Qwen3-8B
138,meld,glm-4-9b-chat
138,medqa,DeepSeek-R1-0528-Qwen3-8B
138,humaneval,Qwen2.5-Coder-7B-Instruct
138,math500,GLM-Z1-9B-0414
138,korbench,Intern-S1-mini
138,emorynlp,gemma-2-9b-it
138,mbpp,Fin-R1
138,finqa,Qwen3-8B
139,meld,glm-4-9b-chat
139,medqa,DeepSeek-R1-0528-Qwen3-8B
139,humaneval,Qwen2.5-Coder-7B-Instruct
139,math500,GLM-Z1-9B-0414
139,korbench,Intern-S1-mini
139,emorynlp,gemma-2-9b-it
139,mbpp,Fin-R1
139,finqa,Qwen3-8B
140,meld,glm-4-9b-chat
140,medqa,DeepSeek-R1-0528-Qwen3-8B
140,humaneval,Qwen2.5-Coder-7B-Instruct
140,math500,GLM-Z1-9B-0414
140,korbench,Intern-S1-mini
140,emorynlp,gemma-2-9b-it
140,mbpp,Fin-R1
140,finqa,Qwen3-8B
141,meld,glm-4-9b-chat
141,medqa,DeepSeek-R1-0528-Qwen3-8B
141,humaneval,Qwen2.5-Coder-7B-Instruct
141,math500,GLM-Z1-9B-0414
141,korbench,Intern-S1-mini
141,emorynlp,gemma-2-9b-it
141,mbpp,Fin-R1
141,finqa,Qwen3-8B
142,medqa,Qwen3-8B
142,humaneval,Qwen2.5-Coder-7B-Instruct
142,finqa,Intern-S1-mini
142,meld,gemma-2-9b-it
142,emorynlp,glm-4-9b-chat
142,math500,DeepSeek-R1-0528-Qwen3-8B
142,korbench,GLM-Z1-9B-0414
142,mbpp,Fin-R1
143,meld,glm-4-9b-chat
143,medqa,DeepSeek-R1-0528-Qwen3-8B
143,humaneval,Qwen2.5-Coder-7B-Instruct
143,math500,GLM-Z1-9B-0414
143,korbench,Intern-S1-mini
143,emorynlp,gemma-2-9b-it
143,mbpp,Fin-R1
143,finqa,Qwen3-8B
144,meld,glm-4-9b-chat
144,medqa,DeepSeek-R1-0528-Qwen3-8B
144,humaneval,Qwen2.5-Coder-7B-Instruct
144,math500,GLM-Z1-9B-0414
144,korbench,Intern-S1-mini
144,emorynlp,gemma-2-9b-it
144,mbpp,Fin-R1
144,finqa,Qwen3-8B
145,medqa,Qwen3-8B
145,humaneval,Qwen2.5-Coder-7B-Instruct
145,finqa,Intern-S1-mini
145,meld,gemma-2-9b-it
145,emorynlp,glm-4-9b-chat
145,math500,DeepSeek-R1-0528-Qwen3-8B
145,korbench,GLM-Z1-9B-0414
145,mbpp,Fin-R1
146,medqa,DeepSeek-R1-0528-Qwen3-8B
146,meld,gemma-2-9b-it
146,mbpp,Qwen2.5-Coder-7B-Instruct
146,math500,GLM-Z1-9B-0414
146,emorynlp,Fin-R1
146,korbench,Intern-S1-mini
146,humaneval,glm-4-9b-chat
146,finqa,Qwen3-8B
147,meld,glm-4-9b-chat
147,medqa,DeepSeek-R1-0528-Qwen3-8B
147,humaneval,Qwen2.5-Coder-7B-Instruct
147,math500,GLM-Z1-9B-0414
147,korbench,Intern-S1-mini
147,emorynlp,gemma-2-9b-it
147,mbpp,Fin-R1
147,finqa,Qwen3-8B
148,medqa,Qwen3-8B
148,meld,glm-4-9b-chat
148,humaneval,Qwen2.5-Coder-7B-Instruct
148,finqa,Intern-S1-mini
148,math500,DeepSeek-R1-0528-Qwen3-8B
148,korbench,GLM-Z1-9B-0414
148,emorynlp,gemma-2-9b-it
148,mbpp,Fin-R1
149,meld,glm-4-9b-chat
149,medqa,DeepSeek-R1-0528-Qwen3-8B
149,humaneval,Qwen2.5-Coder-7B-Instruct
149,math500,GLM-Z1-9B-0414
149,korbench,Intern-S1-mini
149,emorynlp,gemma-2-9b-it
149,mbpp,Fin-R1
149,finqa,Qwen3-8B
150,medqa,DeepSeek-R1-0528-Qwen3-8B
150,humaneval,Qwen2.5-Coder-7B-Instruct
150,meld,gemma-2-9b-it
150,emorynlp,glm-4-9b-chat
150,math500,GLM-Z1-9B-0414
150,korbench,Intern-S1-mini
150,mbpp,Fin-R1
150,finqa,Qwen3-8B
151,meld,glm-4-9b-chat
151,medqa,DeepSeek-R1-0528-Qwen3-8B
151,humaneval,Qwen2.5-Coder-7B-Instruct
151,math500,GLM-Z1-9B-0414
151,korbench,Intern-S1-mini
151,emorynlp,gemma-2-9b-it
151,mbpp,Fin-R1
151,finqa,Qwen3-8B
152,meld,glm-4-9b-chat
152,medqa,DeepSeek-R1-0528-Qwen3-8B
152,math500,Qwen3-8B
152,humaneval,Qwen2.5-Coder-7B-Instruct
152,finqa,Intern-S1-mini
152,korbench,GLM-Z1-9B-0414
152,emorynlp,gemma-2-9b-it
152,mbpp,Fin-R1
153,meld,glm-4-9b-chat
153,medqa,DeepSeek-R1-0528-Qwen3-8B
153,humaneval,Qwen2.5-Coder-7B-Instruct
153,math500,GLM-Z1-9B-0414
153,korbench,Intern-S1-mini
153,emorynlp,gemma-2-9b-it
153,mbpp,Fin-R1
153,finqa,Qwen3-8B
154,medqa,Qwen3-8B
154,humaneval,Qwen2.5-Coder-7B-Instruct
154,finqa,Intern-S1-mini
154,meld,gemma-2-9b-it
154,emorynlp,glm-4-9b-chat
154,math500,DeepSeek-R1-0528-Qwen3-8B
154,korbench,GLM-Z1-9B-0414
154,mbpp,Fin-R1
155,meld,glm-4-9b-chat
155,humaneval,Qwen2.5-Coder-7B-Instruct
155,mbpp,GLM-Z1-9B-0414
155,math500,DeepSeek-R1-0528-Qwen3-8B
155,finqa,Fin-R1
155,korbench,Intern-S1-mini
155,emorynlp,gemma-2-9b-it
155,medqa,Qwen3-8B
156,meld,glm-4-9b-chat
156,medqa,DeepSeek-R1-0528-Qwen3-8B
156,humaneval,Qwen2.5-Coder-7B-Instruct
156,math500,GLM-Z1-9B-0414
156,korbench,Intern-S1-mini
156,emorynlp,gemma-2-9b-it
156,mbpp,Fin-R1
156,finqa,Qwen3-8B
157,medqa,Qwen3-8B
157,meld,glm-4-9b-chat
157,humaneval,Qwen2.5-Coder-7B-Instruct
157,finqa,Intern-S1-mini
157,math500,DeepSeek-R1-0528-Qwen3-8B
157,korbench,GLM-Z1-9B-0414
157,emorynlp,gemma-2-9b-it
157,mbpp,Fin-R1
158,medqa,Qwen3-8B
158,meld,glm-4-9b-chat
158,humaneval,Qwen2.5-Coder-7B-Instruct
158,finqa,Intern-S1-mini
158,math500,DeepSeek-R1-0528-Qwen3-8B
158,korbench,GLM-Z1-9B-0414
158,emorynlp,gemma-2-9b-it
158,mbpp,Fin-R1
159,meld,glm-4-9b-chat
159,medqa,DeepSeek-R1-0528-Qwen3-8B
159,humaneval,Qwen2.5-Coder-7B-Instruct
159,math500,GLM-Z1-9B-0414
159,korbench,Intern-S1-mini
159,emorynlp,gemma-2-9b-it
159,mbpp,Fin-R1
159,finqa,Qwen3-8B
160,meld,glm-4-9b-chat
160,medqa,DeepSeek-R1-0528-Qwen3-8B
160,humaneval,Qwen2.5-Coder-7B-Instruct
160,math500,GLM-Z1-9B-0414
160,korbench,Intern-S1-mini
160,emorynlp,gemma-2-9b-it
160,mbpp,Fin-R1
160,finqa,Qwen3-8B
161,meld,glm-4-9b-chat
161,medqa,DeepSeek-R1-0528-Qwen3-8B
161,humaneval,Qwen2.5-Coder-7B-Instruct
161,math500,GLM-Z1-9B-0414
161,korbench,Intern-S1-mini
161,emorynlp,gemma-2-9b-it
161,mbpp,Fin-R1
161,finqa,Qwen3-8B
162,meld,glm-4-9b-chat
162,medqa,DeepSeek-R1-0528-Qwen3-8B
162,humaneval,Qwen2.5-Coder-7B-Instruct
162,math500,GLM-Z1-9B-0414
162,korbench,Intern-S1-mini
162,emorynlp,gemma-2-9b-it
162,mbpp,Fin-R1
162,finqa,Qwen3-8B
163,meld,glm-4-9b-chat
163,medqa,DeepSeek-R1-0528-Qwen3-8B
163,humaneval,Qwen2.5-Coder-7B-Instruct
163,math500,GLM-Z1-9B-0414
163,korbench,Intern-S1-mini
163,emorynlp,gemma-2-9b-it
163,mbpp,Fin-R1
163,finqa,Qwen3-8B
164,meld,glm-4-9b-chat
164,medqa,DeepSeek-R1-0528-Qwen3-8B
164,mbpp,Qwen2.5-Coder-7B-Instruct
164,math500,GLM-Z1-9B-0414
164,humaneval,Fin-R1
164,korbench,Intern-S1-mini
164,emorynlp,gemma-2-9b-it
164,finqa,Qwen3-8B
165,meld,glm-4-9b-chat
165,medqa,DeepSeek-R1-0528-Qwen3-8B
165,math500,Qwen3-8B
165,humaneval,Qwen2.5-Coder-7B-Instruct
165,finqa,Intern-S1-mini
165,korbench,GLM-Z1-9B-0414
165,emorynlp,gemma-2-9b-it
165,mbpp,Fin-R1
166,medqa,Qwen3-8B
166,meld,glm-4-9b-chat
166,humaneval,Qwen2.5-Coder-7B-Instruct
166,finqa,Intern-S1-mini
166,math500,DeepSeek-R1-0528-Qwen3-8B
166,korbench,GLM-Z1-9B-0414
166,emorynlp,gemma-2-9b-it
166,mbpp,Fin-R1
167,meld,glm-4-9b-chat
167,medqa,DeepSeek-R1-0528-Qwen3-8B
167,humaneval,Qwen2.5-Coder-7B-Instruct
167,math500,GLM-Z1-9B-0414
167,korbench,Intern-S1-mini
167,emorynlp,gemma-2-9b-it
167,mbpp,Fin-R1
167,finqa,Qwen3-8B
168,meld,glm-4-9b-chat
168,medqa,DeepSeek-R1-0528-Qwen3-8B
168,humaneval,Qwen2.5-Coder-7B-Instruct
168,math500,GLM-Z1-9B-0414
168,korbench,Intern-S1-mini
168,emorynlp,gemma-2-9b-it
168,mbpp,Fin-R1
168,finqa,Qwen3-8B
169,medqa,DeepSeek-R1-0528-Qwen3-8B
169,humaneval,Qwen2.5-Coder-7B-Instruct
169,meld,gemma-2-9b-it
169,emorynlp,glm-4-9b-chat
169,math500,GLM-Z1-9B-0414
169,korbench,Intern-S1-mini
169,mbpp,Fin-R1
169,finqa,Qwen3-8B
170,meld,glm-4-9b-chat
170,medqa,DeepSeek-R1-0528-Qwen3-8B
170,humaneval,Qwen2.5-Coder-7B-Instruct
170,math500,GLM-Z1-9B-0414
170,korbench,Intern-S1-mini
170,emorynlp,gemma-2-9b-it
170,mbpp,Fin-R1
170,finqa,Qwen3-8B
171,meld,glm-4-9b-chat
171,medqa,DeepSeek-R1-0528-Qwen3-8B
171,humaneval,Qwen2.5-Coder-7B-Instruct
171,math500,GLM-Z1-9B-0414
171,korbench,Intern-S1-mini
171,emorynlp,gemma-2-9b-it
171,mbpp,Fin-R1
171,finqa,Qwen3-8B
172,meld,glm-4-9b-chat
172,medqa,DeepSeek-R1-0528-Qwen3-8B
172,humaneval,Qwen2.5-Coder-7B-Instruct
172,math500,GLM-Z1-9B-0414
172,korbench,Intern-S1-mini
172,emorynlp,gemma-2-9b-it
172,mbpp,Fin-R1
172,finqa,Qwen3-8B
173,meld,glm-4-9b-chat
173,medqa,DeepSeek-R1-0528-Qwen3-8B
173,humaneval,Qwen2.5-Coder-7B-Instruct
173,math500,GLM-Z1-9B-0414
173,korbench,Intern-S1-mini
173,emorynlp,gemma-2-9b-it
173,mbpp,Fin-R1
173,finqa,Qwen3-8B
174,meld,glm-4-9b-chat
174,finqa,GLM-Z1-9B-0414
174,humaneval,Qwen2.5-Coder-7B-Instruct
174,math500,DeepSeek-R1-0528-Qwen3-8B
174,korbench,Intern-S1-mini
174,emorynlp,gemma-2-9b-it
174,medqa,Qwen3-8B
174,mbpp,Fin-R1
175,meld,glm-4-9b-chat
175,medqa,DeepSeek-R1-0528-Qwen3-8B
175,humaneval,Qwen2.5-Coder-7B-Instruct
175,math500,GLM-Z1-9B-0414
175,korbench,Intern-S1-mini
175,emorynlp,gemma-2-9b-it
175,mbpp,Fin-R1
175,finqa,Qwen3-8B
176,medqa,Qwen3-8B
176,meld,glm-4-9b-chat
176,humaneval,Qwen2.5-Coder-7B-Instruct
176,finqa,Intern-S1-mini
176,math500,DeepSeek-R1-0528-Qwen3-8B
176,korbench,GLM-Z1-9B-0414
176,emorynlp,gemma-2-9b-it
176,mbpp,Fin-R1
177,medqa,DeepSeek-R1-0528-Qwen3-8B
177,humaneval,Qwen2.5-Coder-7B-Instruct
177,meld,gemma-2-9b-it
177,emorynlp,glm-4-9b-chat
177,math500,GLM-Z1-9B-0414
177,korbench,Intern-S1-mini
177,mbpp,Fin-R1
177,finqa,Qwen3-8B
178,meld,glm-4-9b-chat
178,medqa,DeepSeek-R1-0528-Qwen3-8B
178,humaneval,Qwen2.5-Coder-7B-Instruct
178,math500,GLM-Z1-9B-0414
178,korbench,Intern-S1-mini
178,emorynlp,gemma-2-9b-it
178,mbpp,Fin-R1
178,finqa,Qwen3-8B
179,medqa,Qwen3-8B
179,meld,glm-4-9b-chat
179,humaneval,Qwen2.5-Coder-7B-Instruct
179,finqa,Intern-S1-mini
179,math500,DeepSeek-R1-0528-Qwen3-8B
179,korbench,GLM-Z1-9B-0414
179,emorynlp,gemma-2-9b-it
179,mbpp,Fin-R1
180,meld,glm-4-9b-chat
180,medqa,DeepSeek-R1-0528-Qwen3-8B
180,humaneval,Qwen2.5-Coder-7B-Instruct
180,math500,GLM-Z1-9B-0414
180,korbench,Intern-S1-mini
180,emorynlp,gemma-2-9b-it
180,mbpp,Fin-R1
180,finqa,Qwen3-8B
181,meld,glm-4-9b-chat
181,humaneval,Qwen2.5-Coder-7B-Instruct
181,mbpp,GLM-Z1-9B-0414
